[2014-09-09 18:04:23][2776][INFO]Convert file: freq: 22050, mode: 1, bps: 96, fd: 26.122450, name: C:\Users\Administrator\Desktop\2014.9.9\张碧晨-一路上有你.mp3
[2014-09-09 18:10:18][2776][INFO]Convert file: freq: 16000, mode: 0, bps: 64, fd: 36.000000, name: C:\Users\Administrator\Desktop\2014.9.9\张碧晨-她说(live).mp3
[2014-09-09 18:10:22][8184][INFO]Convert file: freq: 16000, mode: 0, bps: 64, fd: 36.000000, name: C:\Users\Administrator\Desktop\2014.9.9\张碧晨-她说(live).mp3
[2014-09-16 16:21:02][1404][INFO]Convert file: freq: 24000, mode: 1, bps: 40, fd: 24.000000, name: C:\Users\Administrator\Desktop\2014.9.16\尚雯婕 - Man In The Mirror.mp3
[2014-09-16 16:21:05][5656][INFO]Convert file: freq: 48000, mode: 1, bps: 384, fd: 8.000000, name: C:\Users\Administrator\Desktop\2014.9.16\尚雯婕 - Man In The Mirror.mp3
[2014-09-16 16:22:35][1404][INFO]Convert file: freq: 24000, mode: 1, bps: 40, fd: 24.000000, name: C:\Users\Administrator\Desktop\2014.9.16\尚雯婕 - Man In The Mirror.mp3
[2014-09-28 12:54:58][8400][INFO]Convert file: freq: 48000, mode: 1, bps: 256, fd: 24.000000, name: E:\有你有我广播站\2014.9.28\can't take my eyes off you.mp3
[2014-09-28 12:55:17][8400][INFO]Convert file: freq: 48000, mode: 1, bps: 256, fd: 24.000000, name: E:\有你有我广播站\2014.9.28\can't take my eyes off you.mp3
[2014-09-28 12:55:26][7756][INFO]Convert file: freq: 44100, mode: 1, bps: 128, fd: 8.707483, name: E:\有你有我广播站\2014.9.28\can't take my eyes off you.mp3
[2014-09-28 13:15:29][8400][INFO]Convert file: freq: 48000, mode: 1, bps: 256, fd: 24.000000, name: E:\有你有我广播站\2014.9.28\can't take my eyes off you.mp3
[2014-09-28 13:15:31][9852][INFO]Convert file: freq: 44100, mode: 1, bps: 128, fd: 8.707483, name: E:\有你有我广播站\2014.9.28\can't take my eyes off you.mp3
[2014-10-10 12:17:52][3464][INFO]Convert file: freq: 11025, mode: 1, bps: 128, fd: 26.122450, name: E:\有你有我广播站\2014.10.10\Bruno Mars - Just The Way You Are.mp3
[2014-10-10 12:17:57][8280][INFO]Convert file: freq: 11025, mode: 1, bps: 128, fd: 26.122450, name: E:\有你有我广播站\2014.10.10\Bruno Mars - Just The Way You Are.mp3
[2014-10-10 12:18:06][8280][INFO]Convert file: freq: 11025, mode: 1, bps: 128, fd: 26.122450, name: E:\有你有我广播站\2014.10.10\Bruno Mars - Just The Way You Are.mp3
[2014-10-29 13:29:38][7216][INFO]Convert file: freq: 22050, mode: 1, bps: 160, fd: 26.122450, name: C:\Users\Administrator\Desktop\陈乐基-月半小夜曲(live).mp3
[2014-10-29 13:29:54][7216][INFO]Convert file: freq: 22050, mode: 1, bps: 64, fd: 26.122450, name: C:\Users\Administrator\Desktop\刘明湘-漂洋过海来看你(live).mp3
[2014-10-29 13:29:57][7108][INFO]Convert file: freq: 8000, mode: 1, bps: 80, fd: 36.000000, name: C:\Users\Administrator\Desktop\刘明湘-漂洋过海来看你(live).mp3
[2014-10-29 13:30:10][7216][INFO]Convert file: freq: 22050, mode: 1, bps: 64, fd: 26.122450, name: C:\Users\Administrator\Desktop\刘明湘-漂洋过海来看你(live).mp3
[2014-11-04 17:51:03][1300][INFO]Convert file: freq: 22050, mode: 1, bps: 32, fd: 26.122450, name: C:\Users\Administrator\Desktop\陈冰-盛夏光年(live).mp3
[2014-11-04 17:51:05][6956][INFO]Convert file: freq: 8000, mode: 0, bps: 32, fd: 36.000000, name: C:\Users\Administrator\Desktop\陈冰-盛夏光年(live).mp3
[2014-11-12 17:52:26][4888][INFO]Convert file: freq: 44100, mode: 1, bps: 128, fd: 26.122450, name: E:\有你有我广播站\2014.5.19\s.h.e - 一眼万年.mp3
[2014-12-08 12:14:33][5304][INFO]Convert file: freq: 22050, mode: 1, bps: 160, fd: 26.122450, name: C:\Users\Administrator\Desktop\中国好声音\耿斯汉-美丽世界的孤儿(live).mp3
